Index1,Index2,Active Index,Active,From Centre,From Centre Principal Name,From Product,From Product Principal Name,From Scenario,To Centre,To Centre Principal Name,To Product,To Product Principal Name,To Scenario,Weight,ErrorValidation,ErrorValidationCount
I-0006,L-0004,1.00,1.00,,,,,,MICB2940 - WBC AGRI WA,MICB2940,BFINF - Invoice Finance,BFINF,Gross Up Elimination Actual,1.0000,,0.00
I-0007,L-0000,0.00,1.00,MIRB0815 - WBC AGRI VIC / TAS,MIRB0815,BFINF - Invoice Finance,BFINF,Reportable Actual ex Gross up,,,,,,0.0000,,0.00
I-0007,L-0001,1.00,1.00,,,,,,096375 - Invoice Finance (WIF) VIC,096375,BFINF - Invoice Finance,BFINF,Gross Up Adjustment Actual,1.0000,,0.00
I-0007,L-0002,1.00,1.00,,,,,,112063 - CBB Support Services ALM Adj Ctr,112063,BFINF - Invoice Finance,BFINF,Gross Up Elimination Actual,-1.0000,,0.00
I-0007,L-0003,1.00,1.00,,,,,,MIRB0815 - WBC AGRI VIC / TAS,MIRB0815,BFINF - Invoice Finance,BFINF,Gross Up Adjustment Actual,-1.0000,,0.00
I-0007,L-0004,1.00,1.00,,,,,,MIRB0815 - WBC AGRI VIC / TAS,MIRB0815,BFINF - Invoice Finance,BFINF,Gross Up Elimination Actual,1.0000,,0.00
I-0008,L-0000,0.00,1.00,MIRB9040 - WBC AGRI HO,MIRB9040,BFINF - Invoice Finance,BFINF,Reportable Actual ex Gross up,,,,,,0.0000,,0.00
I-0008,L-0001,1.00,1.00,,,,,,090323 - Invoice Finance HO,090323,BFINF - Invoice Finance,BFINF,Gross Up Adjustment Actual,1.0000,,0.00
I-0008,L-0002,1.00,1.00,,,,,,112063 - CBB Support Services ALM Adj Ctr,112063,BFINF - Invoice Finance,BFINF,Gross Up Elimination Actual,-1.0000,,0.00
I-0008,L-0003,1.00,1.00,,,,,,MIRB9040 - WBC AGRI HO,MIRB9040,BFINF - Invoice Finance,BFINF,Gross Up Adjustment Actual,-1.0000,,0.00
I-0008,L-0004,1.00,1.00,,,,,,MIRB9040 - WBC AGRI HO,MIRB9040,BFINF - Invoice Finance,BFINF,Gross Up Elimination Actual,1.0000,,0.00
I-0009,L-0000,0.00,1.00,MISG0896 - SBG AGRI (Brand Parent),MISG0896,BFINF - Invoice Finance,BFINF,Reportable Actual ex Gross up,,,,,,0.0000,,0.00
I-0009,L-0001,1.00,1.00,,,,,,840061 - St George Asset Lending - Trade and Cash Flow ALM Adj Centre,840061,BFINF - Invoice Finance,BFINF,Gross Up Adjustment Actual,1.0000,,0.00
I-0009,L-0002,1.00,1.00,,,,,,112063 - CBB Support Services ALM Adj Ctr,112063,BFINF - Invoice Finance,BFINF,Gross Up Elimination Actual,-1.0000,,0.00
I-0009,L-0003,1.00,1.00,,,,,,MISG0896 - SBG AGRI (Brand Parent),MISG0896,BFINF - Invoice Finance,BFINF,Gross Up Adjustment Actual,-1.0000,,0.00
I-0009,L-0004,1.00,1.00,,,,,,MISG0896 - SBG AGRI (Brand Parent),MISG0896,BFINF - Invoice Finance,BFINF,Gross Up Elimination Actual,1.0000,,0.00
I-0010,L-0000,0.00,1.00,MI731095 - Industry Specialisation,MI731095,BFINF - Invoice Finance,BFINF,Reportable Actual ex Gross up,,,,,,0.0000,,0.00
I-0010,L-0001,1.00,1.00,,,,,,090329 - Invoice Finance ALM adj ctr,090329,BFINF - Invoice Finance,BFINF,Gross Up Adjustment Actual,1.0000,,0.00
I-0010,L-0002,1.00,1.00,,,,,,112063 - CBB Support Services ALM Adj Ctr,112063,BFINF - Invoice Finance,BFINF,Gross Up Elimination Actual,-1.0000,,0.00
I-0010,L-0003,1.00,1.00,,,,,,MI731095 - Industry Specialisation,MI731095,BFINF - Invoice Finance,BFINF,Gross Up Adjustment Actual,-1.0000,,0.00
I-0010,L-0004,1.00,1.00,,,,,,MI731095 - Industry Specialisation,MI731095,BFINF - Invoice Finance,BFINF,Gross Up Elimination Actual,1.0000,,0.00
I-0011,L-0000,0.00,1.00,MIRB0866 - SBG CML Property (Brand Parent),MIRB0866,BFINF - Invoice Finance,BFINF,Reportable Actual ex Gross up,,,,,,0.0000,,0.00
I-0011,L-0001,1.00,1.00,,,,,,840061 - St George Asset Lending - Trade and Cash Flow ALM Adj Centre,840061,BFINF - Invoice Finance,BFINF,Gross Up Adjustment Actual,1.0000,,0.00
I-0011,L-0002,1.00,1.00,,,,,,112063 - CBB Support Services ALM Adj Ctr,112063,BFINF - Invoice Finance,BFINF,Gross Up Elimination Actual,-1.0000,,0.00
I-0011,L-0003,1.00,1.00,,,,,,MIRB0866 - SBG CML Property (Brand Parent),MIRB0866,BFINF - Invoice Finance,BFINF,Gross Up Adjustment Actual,-1.0000,,0.00
I-0011,L-0004,1.00,1.00,,,,,,MIRB0866 - SBG CML Property (Brand Parent),MIRB0866,BFINF - Invoice Finance,BFINF,Gross Up Elimination Actual,1.0000,,0.00
I-0012,L-0000,0.00,1.00,MICB2024 - WBC CML Property HO,MICB2024,BFINF - Invoice Finance,BFINF,Reportable Actual ex Gross up,,,,,,0.0000,,0.00
I-0012,L-0001,1.00,1.00,,,,,,090323 - Invoice Finance HO,090323,BFINF - Invoice Finance,BFINF,Gross Up Adjustment Actual,1.0000,,0.00
I-0012,L-0002,1.00,1.00,,,,,,112063 - CBB Support Services ALM Adj Ctr,112063,BFINF - Invoice Finance,BFINF,Gross Up Elimination Actual,-1.0000,,0.00
I-0012,L-0003,1.00,1.00,,,,,,MICB2024 - WBC CML Property HO,MICB2024,BFINF - Invoice Finance,BFINF,Gross Up Adjustment Actual,-1.0000,,0.00
I-0012,L-0004,1.00,1.00,,,,,,MICB2024 - WBC CML Property HO,MICB2024,BFINF - Invoice Finance,BFINF,Gross Up Elimination Actual,1.0000,,0.00
I-0013,L-0000,0.00,1.00,MICB2576 - WBC CML VIC Property,MICB2576,BFINF - Invoice Finance,BFINF,Reportable Actual ex Gross up,,,,,,0.0000,,0.00
I-0013,L-0001,1.00,1.00,,,,,,096375 - Invoice Finance (WIF) VIC,096375,BFINF - Invoice Finance,BFINF,Gross Up Adjustment Actual,1.0000,,0.00
I-0013,L-0002,1.00,1.00,,,,,,112063 - CBB Support Services ALM Adj Ctr,112063,BFINF - Invoice Finance,BFINF,Gross Up Elimination Actual,-1.0000,,0.00
I-0013,L-0003,1.00,1.00,,,,,,MICB2576 - WBC CML VIC Property,MICB2576,BFINF - Invoice Finance,BFINF,Gross Up Adjustment Actual,-1.0000,,0.00
I-0013,L-0004,1.00,1.00,,,,,,MICB2576 - WBC CML VIC Property,MICB2576,BFINF - Invoice Finance,BFINF,Gross Up Elimination Actual,1.0000,,0.00
I-0014,L-0000,0.00,1.00,MIRB0899 - WBC CML NSW Property,MIRB0899,BFINF - Invoice Finance,BFINF,Reportable Actual ex Gross up,,,,,,0.0000,,0.00
I-0014,L-0001,1.00,1.00,,,,,,096435 - Invoice Finance (WIF) NSW,096435,BFINF - Invoice Finance,BFINF,Gross Up Adjustment Actual,1.0000,,0.00
I-0014,L-0002,1.00,1.00,,,,,,112063 - CBB Support Services ALM Adj Ctr,112063,BFINF - Invoice Finance,BFINF,Gross Up Elimination Actual,-1.0000,,0.00
I-0014,L-0003,1.00,1.00,,,,,,MIRB0899 - WBC CML NSW Property,MIRB0899,BFINF - Invoice Finance,BFINF,Gross Up Adjustment Actual,-1.0000,,0.00
I-0014,L-0004,1.00,1.00,,,,,,MIRB0899 - WBC CML NSW Property,MIRB0899,BFINF - Invoice Finance,BFINF,Gross Up Elimination Actual,1.0000,,0.00
I-0015,L-0000,0.00,1.00,MIRB3024 - WBC CML WA Property,MIRB3024,BFINF - Invoice Finance,BFINF,Reportable Actual ex Gross up,,,,,,0.0000,,0.00
I-0015,L-0001,1.00,1.00,,,,,,096426 - Invoice Finance (WIF) WA,096426,BFINF - Invoice Finance,BFINF,Gross Up Adjustment Actual,1.0000,,0.00
I-0015,L-0002,1.00,1.00,,,,,,112063 - CBB Support Services ALM Adj Ctr,112063,BFINF - Invoice Finance,BFINF,Gross Up Elimination Actual,-1.0000,,0.00
I-0015,L-0003,1.00,1.00,,,,,,MIRB3024 - WBC CML WA Property,MIRB3024,BFINF - Invoice Finance,BFINF,Gross Up Adjustment Actual,-1.0000,,0.00
I-0015,L-0004,1.00,1.00,,,,,,MIRB3024 - WBC CML WA Property,MIRB3024,BFINF - Invoice Finance,BFINF,Gross Up Elimination Actual,1.0000,,0.00
I-0016,L-0000,0.00,1.00,MIRE2060 - WBC CML QLD Property,MIRE2060,BFINF - Invoice Finance,BFINF,Reportable Actual ex Gross up,,,,,,0.0000,,0.00
I-0016,L-0001,1.00,1.00,,,,,,096480 - Invoice Finance (WIF) QLD,096480,BFINF - Invoice Finance,BFINF,Gross Up Adjustment Actual,1.0000,,0.00
I-0016,L-0002,1.00,1.00,,,,,,112063 - CBB Support Services ALM Adj Ctr,112063,BFINF - Invoice Finance,BFINF,Gross Up Elimination Actual,-1.0000,,0.00
I-0016,L-0003,1.00,1.00,,,,,,MIRE2060 - WBC CML QLD Property,MIRE2060,BFINF - Invoice Finance,BFINF,Gross Up Adjustment Actual,-1.0000,,0.00
I-0016,L-0004,1.00,1.00,,,,,,MIRE2060 - WBC CML QLD Property,MIRE2060,BFINF - Invoice Finance,BFINF,Gross Up Elimination Actual,1.0000,,0.00
I-0017,L-0000,0.00,1.00,MICB2934 - Westpac Commercial Banking NSW & ACT,MICB2934,BFINF - Invoice Finance,BFINF,Reportable Actual ex Gross up,,,,,,0.0000,,0.00
I-0017,L-0001,1.00,1.00,,,,,,096435 - Invoice Finance (WIF) NSW,096435,BFINF - Invoice Finance,BFINF,Gross Up Adjustment Actual,1.0000,,0.00
I-0017,L-0002,1.00,1.00,,,,,,112063 - CBB Support Services ALM Adj Ctr,112063,BFINF - Invoice Finance,BFINF,Gross Up Elimination Actual,-1.0000,,0.00
I-0017,L-0003,1.00,1.00,,,,,,MICB2934 - Westpac Commercial Banking NSW & ACT,MICB2934,BFINF - Invoice Finance,BFINF,Gross Up Adjustment Actual,-1.0000,,0.00
I-0017,L-0004,1.00,1.00,,,,,,MICB2934 - Westpac Commercial Banking NSW & ACT,MICB2934,BFINF - Invoice Finance,BFINF,Gross Up Elimination Actual,1.0000,,0.00
I-0018,L-0000,0.00,1.00,MIRM4380 - WBC CML QLD (Brand Parent),MIRM4380,BFINF - Invoice Finance,BFINF,Reportable Actual ex Gross up,,,,,,0.0000,,0.00
I-0018,L-0001,1.00,1.00,,,,,,096480 - Invoice Finance (WIF) QLD,096480,BFINF - Invoice Finance,BFINF,Gross Up Adjustment Actual,1.0000,,0.00
I-0018,L-0002,1.00,1.00,,,,,,112063 - CBB Support Services ALM Adj Ctr,112063,BFINF - Invoice Finance,BFINF,Gross Up Elimination Actual,-1.0000,,0.00
I-0018,L-0003,1.00,1.00,,,,,,MIRM4380 - WBC CML QLD (Brand Parent),MIRM4380,BFINF - Invoice Finance,BFINF,Gross Up Adjustment Actual,-1.0000,,0.00
I-0018,L-0004,1.00,1.00,,,,,,MIRM4380 - WBC CML QLD (Brand Parent),MIRM4380,BFINF - Invoice Finance,BFINF,Gross Up Elimination Actual,1.0000,,0.00
I-0019,L-0000,0.00,1.00,MISG1110 - STG CML QLD (Brand Parent),MISG1110,BFINF - Invoice Finance,BFINF,Reportable Actual ex Gross up,,,,,,0.0000,,0.00
I-0019,L-0001,1.00,1.00,,,,,,840061 - St George Asset Lending - Trade and Cash Flow ALM Adj Centre,840061,BFINF - Invoice Finance,BFINF,Gross Up Adjustment Actual,1.0000,,0.00
I-0019,L-0002,1.00,1.00,,,,,,112063 - CBB Support Services ALM Adj Ctr,112063,BFINF - Invoice Finance,BFINF,Gross Up Elimination Actual,-1.0000,,0.00
I-0019,L-0003,1.00,1.00,,,,,,MISG1110 - STG CML QLD (Brand Parent),MISG1110,BFINF - Invoice Finance,BFINF,Gross Up Adjustment Actual,-1.0000,,0.00
I-0019,L-0004,1.00,1.00,,,,,,MISG1110 - STG CML QLD (Brand Parent),MISG1110,BFINF - Invoice Finance,BFINF,Gross Up Elimination Actual,1.0000,,0.00
I-0020,L-0000,0.00,1.00,MI188170 - WBC CML VIC (Brand Parent),MI188170,BFINF - Invoice Finance,BFINF,Reportable Actual ex Gross up,,,,,,0.0000,,0.00
I-0020,L-0001,1.00,1.00,,,,,,096375 - Invoice Finance (WIF) VIC,096375,BFINF - Invoice Finance,BFINF,Gross Up Adjustment Actual,1.0000,,0.00
I-0020,L-0002,1.00,1.00,,,,,,112063 - CBB Support Services ALM Adj Ctr,112063,BFINF - Invoice Finance,BFINF,Gross Up Elimination Actual,-1.0000,,0.00
I-0020,L-0003,1.00,1.00,,,,,,MI188170 - WBC CML VIC (Brand Parent),MI188170,BFINF - Invoice Finance,BFINF,Gross Up Adjustment Actual,-1.0000,,0.00
I-0020,L-0004,1.00,1.00,,,,,,MI188170 - WBC CML VIC (Brand Parent),MI188170,BFINF - Invoice Finance,BFINF,Gross Up Elimination Actual,1.0000,,0.00
I-0021,L-0000,0.00,1.00,MISG1104 - BOM CML (Brand Parent),MISG1104,BFINF - Invoice Finance,BFINF,Reportable Actual ex Gross up,,,,,,0.0000,,0.00
I-0021,L-0001,1.00,1.00,,,,,,840061 - St George Asset Lending - Trade and Cash Flow ALM Adj Centre,840061,BFINF - Invoice Finance,BFINF,Gross Up Adjustment Actual,1.0000,,0.00
I-0021,L-0002,1.00,1.00,,,,,,112063 - CBB Support Services ALM Adj Ctr,112063,BFINF - Invoice Finance,BFINF,Gross Up Elimination Actual,-1.0000,,0.00
I-0021,L-0003,1.00,1.00,,,,,,MISG1104 - BOM CML (Brand Parent),MISG1104,BFINF - Invoice Finance,BFINF,Gross Up Adjustment Actual,-1.0000,,0.00
I-0021,L-0004,1.00,1.00,,,,,,MISG1104 - BOM CML (Brand Parent),MISG1104,BFINF - Invoice Finance,BFINF,Gross Up Elimination Actual,1.0000,,0.00
I-0022,L-0000,0.00,1.00,MIRM4400 - WBC CML WA (Brand Parent),MIRM4400,BFINF - Invoice Finance,BFINF,Reportable Actual ex Gross up,,,,,,0.0000,,0.00
I-0022,L-0001,1.00,1.00,,,,,,096426 - Invoice Finance (WIF) WA,096426,BFINF - Invoice Finance,BFINF,Gross Up Adjustment Actual,1.0000,,0.00
I-0022,L-0002,1.00,1.00,,,,,,112063 - CBB Support Services ALM Adj Ctr,112063,BFINF - Invoice Finance,BFINF,Gross Up Elimination Actual,-1.0000,,0.00
I-0022,L-0003,1.00,1.00,,,,,,MIRM4400 - WBC CML WA (Brand Parent),MIRM4400,BFINF - Invoice Finance,BFINF,Gross Up Adjustment Actual,-1.0000,,0.00
I-0022,L-0004,1.00,1.00,,,,,,MIRM4400 - WBC CML WA (Brand Parent),MIRM4400,BFINF - Invoice Finance,BFINF,Gross Up Elimination Actual,1.0000,,0.00
I-0023,L-0000,0.00,1.00,MISG1106 - STG CML WA (Brand Parent),MISG1106,BFINF - Invoice Finance,BFINF,Reportable Actual ex Gross up,,,,,,0.0000,,0.00
I-0023,L-0001,1.00,1.00,,,,,,840061 - St George Asset Lending - Trade and Cash Flow ALM Adj Centre,840061,BFINF - Invoice Finance,BFINF,Gross Up Adjustment Actual,1.0000,,0.00
I-0023,L-0002,1.00,1.00,,,,,,112063 - CBB Support Services ALM Adj Ctr,112063,BFINF - Invoice Finance,BFINF,Gross Up Elimination Actual,-1.0000,,0.00
I-0023,L-0003,1.00,1.00,,,,,,MISG1106 - STG CML WA (Brand Parent),MISG1106,BFINF - Invoice Finance,BFINF,Gross Up Adjustment Actual,-1.0000,,0.00
I-0023,L-0004,1.00,1.00,,,,,,MISG1106 - STG CML WA (Brand Parent),MISG1106,BFINF - Invoice Finance,BFINF,Gross Up Elimination Actual,1.0000,,0.00
I-0024,L-0000,0.00,1.00,MICB2800 - WBC CML SA/NT (Brand Parent),MICB2800,BFINF - Invoice Finance,BFINF,Reportable Actual ex Gross up,,,,,,0.0000,,0.00
I-0024,L-0001,1.00,1.00,,,,,,096380 - Invoice Finance (WIF) SA/NT,096380,BFINF - Invoice Finance,BFINF,Gross Up Adjustment Actual,1.0000,,0.00
I-0024,L-0002,1.00,1.00,,,,,,112063 - CBB Support Services ALM Adj Ctr,112063,BFINF - Invoice Finance,BFINF,Gross Up Elimination Actual,-1.0000,,0.00
I-0024,L-0003,1.00,1.00,,,,,,MICB2800 - WBC CML SA/NT (Brand Parent),MICB2800,BFINF - Invoice Finance,BFINF,Gross Up Adjustment Actual,-1.0000,,0.00
I-0024,L-0004,1.00,1.00,,,,,,MICB2800 - WBC CML SA/NT (Brand Parent),MICB2800,BFINF - Invoice Finance,BFINF,Gross Up Elimination Actual,1.0000,,0.00
I-0025,L-0000,0.00,1.00,MISG1097 - BSA CML (Brand Parent),MISG1097,BFINF - Invoice Finance,BFINF,Reportable Actual ex Gross up,,,,,,0.0000,,0.00
I-0025,L-0001,1.00,1.00,,,,,,840061 - St George Asset Lending - Trade and Cash Flow ALM Adj Centre,840061,BFINF - Invoice Finance,BFINF,Gross Up Adjustment Actual,1.0000,,0.00
I-0025,L-0002,1.00,1.00,,,,,,112063 - CBB Support Services ALM Adj Ctr,112063,BFINF - Invoice Finance,BFINF,Gross Up Elimination Actual,-1.0000,,0.00
I-0025,L-0003,1.00,1.00,,,,,,MISG1097 - BSA CML (Brand Parent),MISG1097,BFINF - Invoice Finance,BFINF,Gross Up Adjustment Actual,-1.0000,,0.00
I-0025,L-0004,1.00,1.00,,,,,,MISG1097 - BSA CML (Brand Parent),MISG1097,BFINF - Invoice Finance,BFINF,Gross Up Elimination Actual,1.0000,,0.00
I-0026,L-0000,0.00,1.00,MI731160 - WBC CML HO (Brand Parent),MI731160,BFINF - Invoice Finance,BFINF,Reportable Actual ex Gross up,,,,,,0.0000,,0.00
I-0026,L-0001,1.00,1.00,,,,,,090323 - Invoice Finance HO,090323,BFINF - Invoice Finance,BFINF,Gross Up Adjustment Actual,1.0000,,0.00
I-0026,L-0002,1.00,1.00,,,,,,112063 - CBB Support Services ALM Adj Ctr,112063,BFINF - Invoice Finance,BFINF,Gross Up Elimination Actual,-1.0000,,0.00
I-0026,L-0003,1.00,1.00,,,,,,MI731160 - WBC CML HO (Brand Parent),MI731160,BFINF - Invoice Finance,BFINF,Gross Up Adjustment Actual,-1.0000,,0.00
I-0026,L-0004,1.00,1.00,,,,,,MI731160 - WBC CML HO (Brand Parent),MI731160,BFINF - Invoice Finance,BFINF,Gross Up Elimination Actual,1.0000,,0.00
I-0027,L-0000,0.00,1.00,MISG1115 -SBG CML HO (Brand Parent),MISG1115,BFINF - Invoice Finance,BFINF,Reportable Actual ex Gross up,,,,,,0.0000,"From Centre: ""MISG1115 -SBG CML HO (Brand Parent)"" ValidCode - No Desc",1.00
I-0027,L-0001,1.00,1.00,,,,,,840061 - St George Asset Lending - Trade and Cash Flow ALM Adj Centre,840061,BFINF - Invoice Finance,BFINF,Gross Up Adjustment Actual,1.0000,,0.00
I-0027,L-0002,1.00,1.00,,,,,,112063 - CBB Support Services ALM Adj Ctr,112063,BFINF - Invoice Finance,BFINF,Gross Up Elimination Actual,-1.0000,,0.00
I-0027,L-0003,1.00,1.00,,,,,,MISG1115 -SBG CML HO (Brand Parent),MISG1115,BFINF - Invoice Finance,BFINF,Gross Up Adjustment Actual,-1.0000,"To Centre: ""MISG1115 -SBG CML HO (Brand Parent)"" ValidCode - No Desc",1.00
I-0027,L-0004,1.00,1.00,,,,,,MISG1115 -SBG CML HO (Brand Parent),MISG1115,BFINF - Invoice Finance,BFINF,Gross Up Elimination Actual,1.0000,"To Centre: ""MISG1115 -SBG CML HO (Brand Parent)"" ValidCode - No Desc",1.00
I-0028,L-0000,0.00,1.00,MISG1449 -St George Commercial Banking NSW & ACT,MISG1449,BFINF - Invoice Finance,BFINF,Reportable Actual ex Gross up,,,,,,0.0000,"From Centre: ""MISG1449 -St George Commercial Banking NSW & ACT"" ValidCode - No Desc",1.00
I-0028,L-0001,1.00,1.00,,,,,,840061 - St George Asset Lending - Trade and Cash Flow ALM Adj Centre,840061,BFINF - Invoice Finance,BFINF,Gross Up Adjustment Actual,1.0000,,0.00
I-0028,L-0002,1.00,1.00,,,,,,112063 - CBB Support Services ALM Adj Ctr,112063,BFINF - Invoice Finance,BFINF,Gross Up Elimination Actual,-1.0000,,0.00
I-0028,L-0003,1.00,1.00,,,,,,MISG1449 -St George Commercial Banking NSW & ACT,MISG1449,BFINF - Invoice Finance,BFINF,Gross Up Adjustment Actual,-1.0000,"To Centre: ""MISG1449 -St George Commercial Banking NSW & ACT"" ValidCode - No Desc",1.00
I-0028,L-0004,1.00,1.00,,,,,,MISG1449 -St George Commercial Banking NSW & ACT,MISG1449,BFINF - Invoice Finance,BFINF,Gross Up Elimination Actual,1.0000,"To Centre: ""MISG1449 -St George Commercial Banking NSW & ACT"" ValidCode - No Desc",1.00
I-0029,L-0000,0.00,1.00,MI187128 - Equipment Finance & Business Introducers,MI187128,BFEQU - Equipment Finance,BFEQU,Reportable Actual ex Gross up,,,,,,0.0000,,0.00
I-0029,L-0001,1.00,1.00,,,,,,073377 - WEF Third Party ALM adj ctr,073377,BFEQU - Equipment Finance,BFEQU,Gross Up Adjustment Actual,1.0000,,0.00
I-0029,L-0002,1.00,1.00,,,,,,112063 - CBB Support Services ALM Adj Ctr,112063,BFEQU - Equipment Finance,BFEQU,Gross Up Elimination Actual,-1.0000,,0.00
I-0029,L-0003,1.00,1.00,,,,,,MI187128 - Equipment Finance & Business Introducers,MI187128,BFEQU - Equipment Finance,BFEQU,Gross Up Adjustment Actual,-1.0000,,0.00
I-0029,L-0004,1.00,1.00,,,,,,MI187128 - Equipment Finance & Business Introducers,MI187128,BFEQU - Equipment Finance,BFEQU,Gross Up Elimination Actual,1.0000,,0.00
I-0030,L-0000,0.00,1.00,MI187208 - SME National Head Office,MI187208,BFEQU - Equipment Finance,BFEQU,Reportable Actual ex Gross up,,,,,,0.0000,,0.00
I-0030,L-0001,1.00,1.00,,,,,,075693 - WEF RM HO,075693,BFEQU - Equipment Finance,BFEQU,Gross Up Adjustment Actual,1.0000,,0.00
I-0030,L-0002,1.00,1.00,,,,,,112063 - CBB Support Services ALM Adj Ctr,112063,BFEQU - Equipment Finance,BFEQU,Gross Up Elimination Actual,-1.0000,,0.00
